,bike_id,age_scaled,model_type,no_of_riding_sessions,no_of_charging_sessions,charging_behavior,mileage_km_per_soc
0,bike_21062,0.26190476190476186,Model_4,305,59,Decent,0.9768201813890306
1,bike_11582,0.26190476190476186,Model_4,136,11,Decent,0.687972067146283
2,bike_19932,0.26190476190476186,Model_4,209,90,Bad,0.4751675041152264
3,bike_21418,0.26190476190476186,Model_4,221,17,Good,0.7560670149296584
4,bike_6349,0.26190476190476186,Model_4,1778,91,Good,0.98610210491343
5,bike_13771,0.26190476190476186,Model_4,97,12,Decent,0.986202073151085
6,bike_26063,0.7857142857142857,Model_1,157,13,Good,0.6459099389189189
7,bike_5640,0.26190476190476186,Model_4,852,154,Decent,0.921739860330451
8,bike_18126,0.26190476190476186,Model_3,2449,320,Bad,0.715252880379508
9,bike_106,0.26190476190476186,Model_4,916,133,Bad,0.7750014852432742
10,bike_4655,0.26190476190476186,Model_4,373,23,Decent,0.7242417982024998
11,bike_18603,0.26190476190476186,Model_4,1474,125,Decent,0.9618974932343431
12,bike_13429,0.26190476190476186,Model_4,965,111,Decent,0.8482187663906914
13,bike_8981,0.26190476190476186,Model_4,1101,69,Decent,0.8830991527831702
14,bike_11822,0.26190476190476186,Model_4,879,128,Decent,0.8885037728557897
15,bike_26844,0.26190476190476186,Model_4,252,30,Decent,0.6758524631295162
16,bike_8115,0.26190476190476186,Model_4,920,223,Bad,0.8456329575659258
17,bike_16046,0.26190476190476186,Model_4,354,32,Decent,0.7608754786136446
18,bike_16461,0.26190476190476186,Model_4,709,92,Decent,0.7946635051546391
19,bike_7803,0.26190476190476186,Model_4,128,14,Decent,0.6438484834392774
20,bike_3781,0.26190476190476186,Model_4,1864,120,Decent,0.9087695652553468
21,bike_6221,0.26190476190476186,Model_4,171,17,Good,0.682017779775367
22,bike_19856,0.26190476190476186,Model_4,2511,407,Bad,0.931501256246948
23,bike_27356,0.26190476190476186,Model_4,575,27,Decent,0.8187379555702661
24,bike_19713,0.26190476190476186,Model_4,5140,280,Decent,0.9823782963451618
25,bike_15073,0.26190476190476186,Model_4,336,59,Decent,1.0378645172934222
26,bike_18242,0.26190476190476186,Model_4,214,22,Good,0.6968103845076995
27,bike_14308,0.7857142857142857,Model_1,961,106,Decent,0.7591290348321742
28,bike_24288,0.26190476190476186,Model_4,587,153,Bad,0.9679556191132682
29,bike_18026,0.7857142857142857,Model_1,334,61,Bad,0.9337735273333332
30,bike_11852,0.26190476190476186,Model_4,662,34,Decent,1.2810957417923692
31,bike_3387,0.26190476190476186,Model_4,1527,134,Bad,1.023340169422164
32,bike_15395,0.26190476190476186,Model_4,490,65,Good,0.9143533661860036
33,bike_13548,0.26190476190476186,Model_4,160,25,Good,0.7471868624084723
34,bike_10895,0.26190476190476186,Model_4,969,162,Decent,0.9060654547790148
35,bike_14774,0.26190476190476186,Model_4,236,22,Good,0.8180251395529394
36,bike_4516,0.26190476190476186,Model_4,572,61,Good,0.9109250821495148
37,bike_4210,0.26190476190476186,Model_4,219,18,Good,1.2839078927784997
38,bike_24075,0.26190476190476186,Model_4,1000,41,Decent,0.7740481287664641
39,bike_8306,0.26190476190476186,Model_4,1037,237,Decent,0.9063330047582964
40,bike_27170,0.26190476190476186,Model_4,842,113,Bad,1.0288813114917936
41,bike_25461,0.26190476190476186,Model_4,390,28,Good,1.030964229442971
42,bike_6404,0.26190476190476186,Model_4,1534,135,Decent,1.0266822507045
43,bike_26960,0.7857142857142857,Model_1,288,33,Good,0.6192208499999999
44,bike_14827,0.26190476190476186,Model_4,544,130,Bad,0.8379810484376153
45,bike_24960,0.7857142857142857,Model_1,58,10,Decent,0.8978212926666667
46,bike_4009,0.26190476190476186,Model_3,555,99,Decent,0.6218620768863502
47,bike_19038,0.26190476190476186,Model_4,1054,241,Bad,0.8702717246999739
48,bike_19810,0.26190476190476186,Model_4,630,131,Good,0.8809363202212979
49,bike_26881,0.26190476190476186,Model_4,963,121,Decent,0.7561195327738667
50,bike_6257,0.26190476190476186,Model_4,1214,210,Bad,0.8886437391137051
51,bike_3778,0.26190476190476186,Model_4,292,98,Decent,0.8130857518006541
52,bike_6684,0.26190476190476186,Model_4,632,146,Decent,0.8997724342522881
53,bike_17552,0.26190476190476186,Model_3,595,117,Decent,0.8742713612380827
54,bike_26440,0.7857142857142857,Model_1,924,144,Decent,0.7745224171028038
